UMAP1,UMAP2,UMAP3,Year
7.34467,10.553711,8.127035,2020
6.12832,12.023138,15.232433,2020
6.1104074,11.941767,15.209599,2020
8.388292,11.300253,9.2162,2020
6.17041,12.400823,13.6746645,2020
17.463905,6.5461454,6.8840313,2020
3.0532317,10.145489,9.054565,2020
7.146396,10.492961,8.063385,2020
11.994188,5.259212,13.847127,2020
17.423353,6.5735164,6.958029,2020
17.437672,6.5672092,6.9467793,2020
5.9535246,12.407628,13.636353,2020
1.9368755,9.890507,6.979738,2020
6.282406,12.742248,15.247679,2020
12.070069,5.300781,13.913211,2020
1.8596702,9.891988,6.991325,2020
7.272137,10.467637,8.29003,2020
17.507933,6.560081,6.9405737,2020
7.6345882,5.0715675,8.750614,2020
8.209247,11.692515,9.736554,2020
2.8992817,10.146184,9.047764,2020
8.704806,10.459997,9.203979,2020
6.140955,12.895582,15.538359,2020
3.571322,10.27046,9.261976,2020
7.594094,5.112052,8.789869,2020
7.523094,5.1843824,8.862775,2020
8.22911,11.662987,9.721624,2020
7.6852765,5.021117,8.699944,2020
17.208168,6.3734345,6.6034656,2020
2.675239,10.270176,8.831119,2020
16.903364,6.3011627,6.5966825,2020
4.0308976,10.356047,9.547276,2020
4.470798,1.903934,6.2323017,2020
4.4814944,10.384805,9.744439,2020
2.9524233,10.161557,9.050739,2020
17.179348,6.2411375,7.046146,2020
6.513332,10.4571905,10.185158,2020
7.7949233,10.751288,8.851803,2020
17.2982,6.3470063,7.0913253,2020
17.215038,6.240817,7.0767927,2020
6.220561,12.790977,15.059983,2020
17.022465,6.2086205,6.540361,2020
6.180693,11.43265,14.31417,2020
8.610206,11.217126,8.897905,2020
17.093355,6.639075,6.1215158,2020
17.078362,6.7076197,6.090346,2020
17.016153,6.707404,6.140324,2020
17.065804,6.692152,6.0524297,2020
17.025164,6.2299724,6.565201,2020
17.145082,6.319922,6.593036,2020
1.9208912,9.657403,6.8696904,2020
8.483117,10.927437,9.13331,2020
17.118439,6.6429486,6.0969834,2020
1.9634929,9.630536,6.9106364,2020
17.13133,6.310354,6.5403237,2020
1.8123479,9.713201,6.7302914,2020
3.0111818,10.157444,9.065244,2020
