,Eigenvalue
Component_1,0.5010776086590114
Component_2,0.4946225961801701
Component_3,0.49165970415531685
Component_4,0.48991819383872226
Component_5,0.4823743772183737
Component_6,0.4513128707004496
Component_7,0.41586803351256596
Component_8,0.3489932230868269
Component_9,0.31177062727178123
Component_10,0.2831777107848364
Component_11,0.2818658412557715
Component_12,0.2664121009127455
Component_13,0.25929163131475186
Component_14,0.2548926751814252
Component_15,0.2522179904397363
Component_16,0.2515323466839594
Component_17,0.25120687274307113
Component_18,0.25087781216165755
Component_19,0.2505758464975972
Component_20,0.2502201621095014
