,Eigenvalue
Component_1,0.4989930038895321
Component_2,0.4952488793027409
Component_3,0.4934652932051564
Component_4,0.4901933244726953
Component_5,0.48589404564481026
Component_6,0.429623902445574
Component_7,0.4210404401993881
Component_8,0.3353754774360087
Component_9,0.3075040718108804
Component_10,0.2828230408592564
Component_11,0.2794220235789766
Component_12,0.2646843541268485
Component_13,0.2590184221046793
Component_14,0.25468518670457424
Component_15,0.25323781813714635
Component_16,0.25218845672635254
Component_17,0.2514695644895274
Component_18,0.2509516914254694
Component_19,0.250792261250113
Component_20,0.2506051559128929
