,Eigenvalue
PC_1,0.5716355657176794
PC_2,0.3081262042731943
PC_3,0.22052788799557024
PC_4,0.13309031799869875
PC_5,0.12305392015538343
PC_6,0.0901234448954958
PC_7,0.08258020747733155
PC_8,0.08202732850217107
PC_9,0.06847025377815517
PC_10,0.060616674219535205
PC_11,0.05834881556008797
PC_12,0.05500804250262841
PC_13,0.053712804709566075
PC_14,0.05154255038988349
PC_15,0.05018812100422752
PC_16,0.04901111249759024
PC_17,0.04688625131931955
PC_18,0.04501613085244494
PC_19,0.04449890896762601
PC_20,0.03974417391777288
